Country,Name,Age,PlayingRole,BattingStyle,BowlingStyle,Matches,Innings,Notout,Runs,HighestScore,BattingAvg,BallsFaced,StrikeRate,Hundreds,Fiftys,Fours,Sixs,Matches,Innings,BallsBowled,Runs,Wickets,BBI,BBW,BowlingAvg,Economy,StrikeRate
Ireland,Paul Stirling,28,Allrounder,Right-hand bat,Right-arm offbreak,52,51,4,1181,81,25.12,869,135.90,0,8,143,39,52,28,420,511,15,3/21,3/21,34.06,7.30,28.0
England,Sean Terry,27,_,Right-hand bat,Right-arm offbreak,1,1,0,4,4,4.00,6,66.66,0,0,0,0,1,-,-,-,-,-,-,-,-,-
Ireland,Greg Thompson,31,Bowler,Right-hand bat,Legbreak,8,7,1,75,44,12.50,78,96.15,0,0,9,1,8,-,-,-,-,-,-,-,-,-
Ireland,Stuart Thompson,27,Bowler,Left-hand bat,Right-arm medium-fast,28,22,5,232,56,13.64,175,132.57,0,1,20,10,28,18,267,379,8,3/10,3/10,47.37,8.51,33.3
Ireland,Lorcan Tucker,22,Wicketkeeper batsman,Right-hand bat,_,4,4,0,43,16,10.75,42,102.38,0,0,4,1,4,-,-,-,-,-,-,-,-,-
Ireland,Gary Wilson,32,Wicketkeeper batsman,Right-hand bat,_,61,54,7,1095,65*,23.29,1035,105.79,0,3,96,18,61,-,-,-,-,-,-,-,-,-
Ireland,Craig Young,28,Bowler,Right-hand bat,Right-arm fast-medium,16,3,2,4,2*,4.00,7,57.14,0,0,0,0,16,15,258,362,10,2/15,2/15,36.20,8.41,25.8
Pakistan,Aamer Yamin,28,Allrounder,Right-hand bat,Right-arm medium,2,1,1,15,15*,-,6,250.00,0,0,1,1,2,2,36,37,2,1/12,1/12,18.50,6.16,18.0
Pakistan,Ahmed Shehzad,27,Opening batsman,Right-hand bat,Legbreak,57,57,2,1454,111*,26.43,1257,115.67,1,7,157,32,57,1,6,10,0,-,-,-,10.00,-
Pakistan,Asif Ali,27,Middle-order batsman,Right-hand bat,Right-arm medium-fast,16,15,6,237,41*,26.33,171,138.59,0,0,11,15,16,-,-,-,-,-,-,-,-,-
Pakistan,Babar Azam,24,Batsman,Right-hand bat,Right-arm offbreak,26,26,7,1031,97*,54.26,829,124.36,0,8,98,13,26,-,-,-,-,-,-,-,-,-
Pakistan,Faheem Ashraf,24,Bowling allrounder,Left-hand bat,Right-arm medium,23,14,6,96,21,12.00,79,121.51,0,0,5,6,23,22,367,409,21,3/5,3/5,19.47,6.68,17.4
Pakistan,Fakhar Zaman,28,Opening batsman,Left-hand bat,Slow left-arm orthodox,26,25,0,706,91,28.24,505,139.80,0,4,79,21,26,-,-,-,-,-,-,-,-,-
Pakistan,Haris Sohail,29,Middle-order batsman,Left-hand bat,Slow left-arm orthodox,9,8,2,90,30*,15.00,87,103.44,0,0,6,1,9,-,-,-,-,-,-,-,-,-
Pakistan,Hasan Ali,24,Bowler,Right-hand bat,Right-arm medium-fast,27,7,4,49,23,16.33,28,175.00,0,0,3,4,27,27,549,753,33,3/23,3/23,22.81,8.22,16.6
Pakistan,Hussain Talat,22,Allrounder,Left-hand bat,_,11,11,1,273,63,27.30,232,117.67,0,1,23,4,11,5,30,40,4,2/12,2/12,10.00,8.00,7.5
Pakistan,Imad Wasim,29,Allrounder,Left-hand bat,Slow left-arm orthodox,31,19,8,140,24*,12.72,92,152.17,0,0,10,7,31,31,684,687,35,5/14,5/14,19.62,6.02,19.5
